,Na,Rm,Rm_mean,Rm_sd,ln_Na,ln_Rm,ln_Rm_mean,ln_Rm_SD,grad_Ln_n/r,grad_Ln_n/r_mean
3088,1900,87.8237,77.48650666666666,6.175188481735324,7.549609165154532,4.4753313958789445,4.346976803777482,0.0788456479161137,1.52178865916565,1.663636956895194
3089,2000,88.8144,80.02853916666668,6.375079676969845,7.600902459542082,4.486548799013424,4.379265036152739,0.07868997029419776,4.194558926477891,1.7405239592327975
3090,2100,89.9444,82.07136416666668,6.536894329531355,7.649692623711514,4.499191701649168,4.404478717512181,0.07855015819709575,1.7550308300586792,1.8333636815057408
3091,2200,93.771,84.29348166666665,6.641495081179538,7.696212639346407,4.540855639766266,4.431251546393875,0.07787304307059223,1.1258147581543871,1.7412822336535276
3092,2300,97.5141,86.4526733333334,6.615108654936319,7.7406644019172415,4.57999698293262,4.456722849133999,0.07552449148040136,1.490457672531813,1.7252612449714588
3093,2400,99.4082,88.63279833333334,6.704121107646945,7.783224016336037,4.5992346052298245,4.481685286352526,0.074807787458685,2.0843995003784115,1.737400356900739
3094,2500,101.494,90.68775999999998,6.727035487412114,7.824046010856292,4.61999968343409,4.50471501663176,0.07332972524943136,1.5129504942086045,1.7186023159202657
3095,2600,104.809,92.84680916666669,6.862446486530193,7.8632667240095735,4.652139646062245,4.528259590909236,0.07313910404695788,1.110103442091503,1.736862935811527
3096,2700,108.78,94.81161499999999,7.223126259991259,7.90100705199242,4.689327493994814,4.5490253876744635,0.075520650342383,1.340587456668728,1.7667293167543852
3097,2800,110.766,96.83036999999996,7.235162676374733,7.937374696163295,4.707419868016488,4.57020601215834,0.07400873487920884,1.9925416296070717,1.7889541372712041
3098,2900,112.75200000000001,98.6562783333333,7.261498968397691,7.9724660159745655,4.725190716584667,4.588969935437519,0.07288050414839224,1.9027633750522521,1.850095882342017
3099,3000,114.85600000000001,100.49698166666668,7.3315429829262,8.006367567650246,4.743679169825393,4.607497523449967,0.07234357286527993,0.0,0.0
3100,10,2.2360700000000002,3.358624666666668,0.7150635177508384,2.302585092994046,0.8047198607062321,1.1896030470871515,0.20882358120895358,0.0,0.0
3101,100,14.8661,14.163644166666655,1.7027718451492497,4.605170185988092,2.6990834530395245,2.643674029712245,0.11768307721068658,1.2771320404745106,1.6056794813979303
